	EntryID	Headword	hyponym	alignment
0	d2e13Meyers-1905	A [1]	A.	0.5
1	d2e71565Meyers-1905	Alexander [1]	[Rußland.]	0.5
2	d2e86034Meyers-1905	Alpen [2]	[Westalpen.]	0.4166666666666667
3	d2e86034Meyers-1905	Alpen [2]	[Ostalpen.]	0.45454545454545453
4	d2e101837Meyers-1905	Amerika	[Nordamerika.]	0.42857142857142855
5	d2e101837Meyers-1905	Amerika	[Südamerika.]	0.46153846153846156
6	d2e102443Meyers-1905	Amerikanische Altertümer	[Literatur.]	0.5
7	d2e113846Meyers-1905	Analyse, chemische	[Gasanalyse.]	0.46153846153846156
8	d2e113846Meyers-1905	Analyse, chemische	[Andre Methoden.]	0.4117647058823529
9	d2e158843Meyers-1905	Arabische Literatur	[Literatur.]	0.75
10	d2e166914Meyers-1905	Architektūr	[Literatur.]	0.4166666666666667
11	d2e224896Meyers-1905	Aufwandsteuern	Produktionssteuern.	0.47368421052631576
12	d2e224896Meyers-1905	Aufwandsteuern	Zirkulationssteuern.	0.5
13	d2e224896Meyers-1905	Aufwandsteuern	Abfindungen	0.6363636363636364
14	d2e233384Meyers-1905	Ausgrabungen, archäologische	[Prähistorisches.]	0.4444444444444444
15	d2e237145Meyers-1905	Aussprache	Ausprachebezeichnung	0.45
16	d2e330287Meyers-1905	Belgica-Expedition 18971899	Belgica-Expedition 1897—1899	0.9642857142857143
17	d2e368392Meyers-1905	Beuteltiere	Krautfresser	0.4166666666666667
18	d2e458438Meyers-1905	Boule	Boulle	0.8333333333333334
19	d2e470475Meyers-1905	Branntweinsteuer	Fabrikatsteuern,	0.5625
20	d2e470475Meyers-1905	Branntweinsteuer	Schanksteuer,	0.6153846153846154
21	d2e470475Meyers-1905	Branntweinsteuer	Branntweinmonopol	0.5882352941176471
22	d2e499726Meyers-1905	Bruchrechnung	[Dezimalbruchrechnung.]	0.5217391304347826
23	d2e539000Meyers-1905	C [1]	C.	0.5
