	EntryID	headword	compound
0	d3e169Brockhaus-1809	Absolut	Absoluten
1	d3e375Brockhaus-1809	Der Achat	Jaspachat
3	d3e620Brockhaus-1809	Der Adel	Adelsbriefe
4	d3e845Brockhaus-1809	Aeon	Aeonen
5	d3e1164Brockhaus-1809	Afrika	Afrikaʼs
6	d3e1164Brockhaus-1809	Afrika	Afrikaner
7	d3e1367Brockhaus-1809	Die Akademie	Mahlerakademie
9	d3e1814Brockhaus-1809	Algier	Algierer
10	d3e1825Brockhaus-1809	Alicante	Alicanten-Wein
11	d3e1853Brockhaus-1809	Das Alkali	Alkalien
12	d3e2037Brockhaus-1809	Die Alpen	Alpenreise
13	d3e2037Brockhaus-1809	Die Alpen	Meeralpen
14	d3e2037Brockhaus-1809	Die Alpen	Alpenwanderungen
17	d3e2292Brockhaus-1809	Die Amazonen	Amazonen-Tracht
18	d3e2416Brockhaus-1809	Amerika	Nordamerika
19	d3e2416Brockhaus-1809	Amerika	Mittelamerikanischen
20	d3e2416Brockhaus-1809	Amerika	Amerikanern
21	d3e2416Brockhaus-1809	Amerika	Nordamerikanischen
22	d3e2416Brockhaus-1809	Amerika	Amerikanische
23	d3e2416Brockhaus-1809	Amerika	Südamerika
24	d3e2583Brockhaus-1809	Der Anabaptist	Anabaptisten
26	d3e3306Brockhaus-1809	Antigone	Antigonens
32	d3e3783Brockhaus-1809	Apollo	Apolloʼs
34	d3e4107Brockhaus-1809	Der Archipel	Archipelagus
35	d3e4236Brockhaus-1809	Argus	Argus-Augen
39	d3e4389Brockhaus-1809	Der Aristokrat	Aristokratie
40	d3e4389Brockhaus-1809	Der Aristokrat	Aristokraten
41	d3e4652Brockhaus-1809	Arundel	Arundeliana
42	d3e4769Brockhaus-1809	Das Assignat	Assignaten-Plan
43	d3e4769Brockhaus-1809	Das Assignat	Assignaten
44	d3e4915Brockhaus-1809	Athen	Athenienser
45	d3e5059Brockhaus-1809	Der Atom	Atomen
47	d3e5219Brockhaus-1809	Der Augur	Auguren
49	d3e5364Brockhaus-1809	Das Automat	Automaten
50	d3e5431Brockhaus-1809	Avesta	Zendavesta
51	d3e5609Brockhaus-1809	Das Bacchanal	Bacchanalien
52	d3e5765Brockhaus-1809	Baden	Baden-Baden
54	d3e6003Brockhaus-1809	Die Ballei	Balleien
55	d3e6227Brockhaus-1809	Die Bank	Banken
56	d3e6227Brockhaus-1809	Die Bank	Girobanken
57	d3e6227Brockhaus-1809	Die Bank	Zettelbank
58	d3e6227Brockhaus-1809	Die Bank	Banknoten
59	d3e6227Brockhaus-1809	Die Bank	Zettelbanken
60	d3e6227Brockhaus-1809	Die Bank	Leihbanken
61	d3e6227Brockhaus-1809	Die Bank	Bankschein
62	d3e6227Brockhaus-1809	Die Bank	Girobank
63	d3e6263Brockhaus-1809	Der Bann	Kirchenbann
65	d3e6525Brockhaus-1809	Barneveldt	Oldenbarneveldt
67	d3e6553Brockhaus-1809	Das Barometer	Barometerröhre
70	d3e6911Brockhaus-1809	Der Baß	Bassetto
72	d3e7334Brockhaus-1809	Die Bauern	Bauernstand
73	d3e7334Brockhaus-1809	Die Bauern	Bauernstandes
74	d3e7375Brockhaus-1809	Johann Friedrich Bause	Johann Friedrich Bause
75	d3e7421Brockhaus-1809	Bayern	Niederbayern
77	d3e8044Brockhaus-1809	Der Berg	Bergpartei
78	d3e8226Brockhaus-1809	Der Bernstein	Bernsteinsalz
79	d3e8226Brockhaus-1809	Der Bernstein	Bernsteinfirniß
80	d3e8226Brockhaus-1809	Der Bernstein	Bernsteinöhl
81	d3e8315Brockhaus-1809	Der Biber	Biberschwanzes
83	d3e8315Brockhaus-1809	Der Biber	Bibergeil
84	d3e8395Brockhaus-1809	Der Bisam	Bisambeutel
85	d3e8395Brockhaus-1809	Der Bisam	Bisamthiere
87	d3e9214Brockhaus-1809	Das Bord	Backbord
88	d3e9214Brockhaus-1809	Das Bord	Steuerbord
89	d3e9353Brockhaus-1809	Bosse	Rondebosse
91	d3e9671Brockhaus-1809	Brama	Bramanen
92	d3e9729Brockhaus-1809	Brandenburg, die Mark Brandenburg	Brandenburgischen
93	d3e9825Brockhaus-1809	Braunschweig	Braunschweig-Wolfenbüttel
94	d3e9825Brockhaus-1809	Braunschweig	Braunschweigischen
95	d3e9825Brockhaus-1809	Braunschweig	Braunschweig-Lüneburg
96	d3e10282Brockhaus-1809	Bristol	Bristoler
97	d3e11887Brockhaus-1809	Campeche	Campeche-Holz
99	d3e12847Brockhaus-1809	Carlowitz	Carlowitzer
100	d3e13025Brockhaus-1809	Carolina	Nordcarolina
101	d3e13131Brockhaus-1809	Cartes	Descartes
102	d3e13341Brockhaus-1809	Die Caste	Casteneintheilung
104	d3e13722Brockhaus-1809	Der Censor	Censoren
105	d3e13912Brockhaus-1809	Der Champion	Schampiong
108	d3e15043Brockhaus-1809	Der Club	Clubisten
109	d3e15124Brockhaus-1809	Coburg	Coburg-Saalfeld
111	d3e15681Brockhaus-1809	Constantin	Constantinopel
112	d3e16302Brockhaus-1809	Corsica	Corsicaner
114	d3e17346Brockhaus-1809	Danzig	Danzigschen
116	d3e17346Brockhaus-1809	Danzig	Danziger
117	d3e17388Brockhaus-1809	Die Dardanellen	Dardanellenstraße
118	d3e17388Brockhaus-1809	Die Dardanellen	Dardanellencanal
120	d3e17791Brockhaus-1809	Delphi	Delphische
121	d3e17814Brockhaus-1809	Der Demagog	Demagogen
122	d3e18823Brockhaus-1809	Dessau	Dessauischen
124	d3e19407Brockhaus-1809	Der Discant	Discant-Partien
126	d3e20689Brockhaus-1809	Der Dynast	Dynasten
127	d3e20701Brockhaus-1809	Die Ebbe und Fluth	Ebbe und Fluth
129	d3e21248Brockhaus-1809	Die Emigranten	Emigrantencorps
130	d3e21248Brockhaus-1809	Die Emigranten	Emigrantenarmee
131	d3e21248Brockhaus-1809	Die Emigranten	Emigrantenclassen
132	d3e21248Brockhaus-1809	Die Emigranten	Emigranten-Expedition
133	d3e21339Brockhaus-1809	Die Emigranten (Interims-Nachtrag)	Uremigranten
